"CODIGO";"DIGITO";"DESCRICAO";"NIVEL_1";"NIVEL_2";"NIVEL_3";"EMBALAGEM_FORNECEDOR";"EMBALAGEM_COMPRA";"CONVERSAO_COMPRA_ARMAZENAGEM";"UNIDADE_ESTOQUE";"EMBALAGEM_VENDA_0";"EMBALAGEM_VENDA_1";"EMBALAGEM_VENDA_2";"CD_VOLTAGEM"
"412014";"0";"COLHER MESA IX/PLS BAMBU 6PC    7383";"B - UTILIDADES DOMESTICAS";"BB - SERVIR - PRESENTES";"BBD - COLHERES";"CX-60-CJ";"CJ-1-CJ";"1,000000";"CJ";"CJ-1-CJ";"EB-10-CJ";"EB-50-CJ";"0"
"412032";"9";"GRILL CHARBROILER   GAS 90CM CCG90";"N - INDUSTRIAL E NEGOCIOS";"NA - COZINHA INDUSTRIAL";"NAC - CHAPAS, PRENSAS E SANDUICHEIRAS";"CX-2-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
"412036";"1";"CHAPA BIFETEIRA  GAS   90CM     CG90";"N - INDUSTRIAL E NEGOCIOS";"NA - COZINHA INDUSTRIAL";"NAC - CHAPAS, PRENSAS E SANDUICHEIRAS";"CX-2-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
"412038";"8";"COLHER CHA IX/PLS BAMBU 06PC    7388";"B - UTILIDADES DOMESTICAS";"BB - SERVIR - PRESENTES";"BBD - COLHERES";"CX-60-CJ";"CJ-1-CJ";"1,000000";"CJ";"CJ-1-CJ";"EB-10-CJ";"EB-50-CJ";"0"
"412046";"9";"FOGAO INDL.4B MIS FOR BP BR4BF    GF";"N - INDUSTRIAL E NEGOCIOS";"NA - COZINHA INDUSTRIAL";"NAA - FOGOES";"CX-2-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"2"
"412281";"0";"LAV.ROUPA 11KG+SEC. CV5011T  PR M220";"D - ELETROS";"DD - LAVADORAS E SECADORES";"DDA - LAVADORAS DE ROUPAS";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"2"
"415015";"5";"SENSOR PRESEN.TETO EMB/SOB. 360G  BR";"E - MATERIAIS ELETRICOS";"EI - PROGRAMADORES, SENSORES E VARIADORES";"EIA - SENSORES DE PRESENCA";"CX-12-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"3"
"415074";"0";"LUSTRE PALHA BOLA            VPS33-4";"I - ILUMINACAO";"IB - RESIDENCIAL";"IBA - LUSTRES E PENDENTES";"CX-5-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"3"
"415075";"9";"LUSTRE PALHA CHINES           VPS4-4";"I - ILUMINACAO";"IB - RESIDENCIAL";"IBA - LUSTRES E PENDENTES";"CX-5-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"3"
"415078";"3";"LUSTRE PALHA CAROLA          VPS31-4";"I - ILUMINACAO";"IB - RESIDENCIAL";"IBA - LUSTRES E PENDENTES";"CX-5-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"3"
