CODIGO,correlacao_preco_volume,n_obs,DESCRICAO,NIVEL_1,receita_total
462857,-0.4614085113302527,192.0,DISPOSIT.PROTECAO DR4P      40A/30MA,E - MATERIAIS ELETRICOS,173544.105
476717,-0.46008743303415456,115.0,TOALHA BNH VANILLA           RS 1665,"K - CAMA, MESA E BANHO",84115.60500000001
421744,-0.45896076682404785,116.0,PRATO SMES.CER.19CM SICILIANO  92956,B - UTILIDADES DOMESTICAS,25384.884
432465,-0.45855016565825235,25.0,XICARA CAFE CER.75ML C/P  RS  102441,B - UTILIDADES DOMESTICAS,4258.38
435360,-0.45838247725287296,35.0,BATERIA P/CARRO        HNP50GDD 50AH,A - AUTOMOTIVO,67676.65800000001
94491,-0.45583690354724415,53.0,INT.PAR.CJ.1P 10AVERT.611101 PLUS,E - MATERIAIS ELETRICOS,6918.135
480277,-0.4557920040099127,49.0,COND.SPLIT 12000 EVAP.GWC12  INV.182,D - ELETROS,1364435.4374433446
408800,-0.4555844142699021,196.0,ORGANIZADOR 42X20 P/ARMARIO     0078,B - UTILIDADES DOMESTICAS,127673.21
458947,-0.45456245599805384,206.0,LENCOL JG QUEEN ESTAMPADOS     SORT.,"K - CAMA, MESA E BANHO",328579.44
468898,-0.45415294764836756,123.0,TOALHA BNH LUMINA          IVORY 112,"K - CAMA, MESA E BANHO",79641.1
356358,-0.4538341955502155,15.0,ESTUFA 10 BAND DP VC ACL 5810PR M220,N - INDUSTRIAL E NEGOCIOS,17820.9045
466809,-0.4531462148326425,126.0,TOALHA PRAIA 80X150 FLOREST  LJ 5214,"K - CAMA, MESA E BANHO",43736.490000000005
300761,-0.45282328567346136,150.0,DUCHA OPTIMA          6800W 549 M220,U - METAIS E ACESSORIOS,782007.9231045455
471272,-0.4523817280506945,11.0,XICARA CAFE PORC.65ML C/P     102868,B - UTILIDADES DOMESTICAS,1838.1265
470515,-0.45173127709001826,96.0,GARRAFA TERM.1L ROLHA    PT SR1091/1,B - UTILIDADES DOMESTICAS,54620.0725
464209,-0.4490725573441477,73.0,TOALHA BNH ATENAS            VD 2481,"K - CAMA, MESA E BANHO",10940.685
180208,-0.4489087616197352,91.0,INT.SPL CJ.1S+1T 2P 10A  615074 PLUS,E - MATERIAIS ELETRICOS,42579.495
435968,-0.4486443754917022,51.0,CORTINA 360X250 PRATIKA PARTENON  BR,V - DECORACAO,57479.11050000001
320338,-0.4474098224455142,84.0,SUQUEIRA CRISTAL 2.0L TORN/PE   3793,B - UTILIDADES DOMESTICAS,76957.4085
445886,-0.44658570005824894,123.0,LUMI.LED PLS TARTARUGA BR 8W      NE,I - ILUMINACAO,44992.395
468857,-0.44497651491878076,97.0,SILICONE ACETICO TR CASCOLA     280G,S - TINTAS E QUIMICOS,39211.4835
461285,-0.4445073836386321,37.0,FILTRO GABINETE E-DUE FREED. GF MBIV,D - ELETROS,74831.085
479558,-0.44444227269311215,55.0,"REVEST.A 45X90 RIPA MARM.NERO 2,00M2",C - PISOS E REVESTIMENTOS,63932.19
446034,-0.4439515614068699,149.0,FECH.DIG.SOB.                 FSP100,"G - PORTAS, JANELAS E FECHADURAS",825412.82425
317101,-0.4423253024334797,135.0,DUCHA HIGI.C18 GAT.ABS       CR 1850,U - METAIS E ACESSORIOS,1335682.7127485431
450067,-0.44215575388447687,74.0,CAFET.CAPS. G1     LOV BASIC VM 220V,D - ELETROS,365730.6345
276764,-0.4420720628244593,140.0,ESCORREDOR PRATO PLS        BR 10848,B - UTILIDADES DOMESTICAS,67431.2765
483679,-0.44156437855714775,70.0,LENCOL JG CASAL DPL 150F     AM 7680,"K - CAMA, MESA E BANHO",35023.485
472186,-0.4411713455588481,53.0,XICARA CHA CER.180ML C/P      074220,B - UTILIDADES DOMESTICAS,27551.153
