CODIGO,DESCRICAO,NIVEL_1,estoque_parado_total,lojas_com_estoque_parado,receita,qtd_vendida
434969,TOALHA RST LUMINA BR/RS      3675280,"K - CAMA, MESA E BANHO",12.0,1,21983.766,618.0
446696,BALCAO COZ. MDF CANTO FRJ/OFW 500333,O - MOVEIS,12.0,7,38538.57,59.0
454578,FOGAO INDL.2B MISTO BAIXA PRESSAO E2,N - INDUSTRIAL E NEGOCIOS,12.0,2,49586.7435,64.0
228382,CUBA LOC.APOIO 44X25 CURVE1 1730BR01,W - LOUCAS E PIAS,12.0,7,17370.99,25.0
456045,CAIXA ORG. PLS 18X30 C/T     CZ 0126,B - UTILIDADES DOMESTICAS,12.0,1,15605.415,327.0
466289,FIXA CUBA/ESPELHO BR            400G,S - TINTAS E QUIMICOS,12.0,1,146949.67,3504.0
445895,TRILHO LED KIT 3 SPOT NE  9W BR MBIV,I - ILUMINACAO,12.0,1,60436.95,221.0
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,12.0,2,59086.734,318.0
468909,TOALHA RST LUMINA          IVORY 112,"K - CAMA, MESA E BANHO",12.0,1,26894.385,719.0
434971,TOALHA RST LUMINA NAVAL/AZ   3675255,"K - CAMA, MESA E BANHO",12.0,1,39441.087,973.0
464857,POTE VID.HERM.1.0L             24462,B - UTILIDADES DOMESTICAS,12.0,1,16056.6735,381.0
291520,TOALHA JG 5PC F.PENT.CANEL.  BR 1011,"K - CAMA, MESA E BANHO",12.0,2,45905.475,125.0
261159,TORNEIRA ELET.MESA CR SENS.1188 M220,U - METAIS E ACESSORIOS,12.0,3,36581.475000000006,12.0
420147,SUPORTE COND.SPLIT 18000/30000 500MM,D - ELETROS,12.0,2,54826.135,430.0
466713,P.SABONETE PLS 300ML      AZ PSC 700,U - METAIS E ACESSORIOS,12.0,1,11383.785,473.0
265138,TANQUE SINT.SPL 055X042 MR IMP.,W - LOUCAS E PIAS,12.0,4,23099.265,73.0
454310,REFLETOR LED AL.30W          5541 AM,I - ILUMINACAO,12.0,1,42523.1625,1188.0
467615,AP.JANTAR PORC.20PC NATUR     990100,B - UTILIDADES DOMESTICAS,12.0,1,129854.928,389.0
439373,COOKTOP 5B GAS       11479   PT M220,D - ELETROS,12.0,5,146262.6165,38.0
171832,CHURRASQUEIRA GAS BANCAD.   CH3001IX,D - ELETROS,12.0,3,58160.76,16.0
181513,BACIA P/CX.M.CARLO P808   EB95 EBANO,W - LOUCAS E PIAS,12.0,6,13065.990000000002,21.0
464863,UTENSILIOS BANH.VID.2PC     PT 24448,U - METAIS E ACESSORIOS,11.0,1,7854.105,89.0
309553,PORTA MAD.FRISADA.090X210 IPE    F01,"G - PORTAS, JANELAS E FECHADURAS",11.0,3,1285.095,6.0
202152,CUBA LOC.APOIO C/MESA Q1  173067PT02,W - LOUCAS E PIAS,11.0,6,20860.98,32.0
400463,EXTRATOR SUCO  1/4HP       EX  MBIV,N - INDUSTRIAL E NEGOCIOS,11.0,4,39024.72,53.0
255763,BANHEIRA IMERS.ESM.EUROPA120X70,W - LOUCAS E PIAS,11.0,6,14549.535,6.0
462436,UTENSILIOS BANH. BAMBU 6PC   PT 8990,U - METAIS E ACESSORIOS,11.0,1,245769.335,1261.0
454580,FOGAO INDL.4B MISTO BAIXA PRESSAO E4,N - INDUSTRIAL E NEGOCIOS,11.0,3,110890.08,88.0
465696,PORTA-SHAMPOO REGISTRO BR     OR0082,U - METAIS E ACESSORIOS,11.0,1,42387.45,710.0
269039,CX.ACOPL UNIVER.CD00F DUA.VERDE MV60,W - LOUCAS E PIAS,11.0,5,4312.98,18.0
408816,ORGANIZADOR TAMPA COZ.       PT 0085,B - UTILIDADES DOMESTICAS,11.0,1,47640.705,1004.0
454370,PLAFON LED PLS XANGAI  3EM1 24W MBIV,I - ILUMINACAO,11.0,2,46786.635,134.0
264191,"LIQUID.INDL 8,0L 1/2HP  LS08MBN M220",N - INDUSTRIAL E NEGOCIOS,11.0,5,80112.32250000001,57.0
407221,GRILL AUT.MULTI      OGRL210 IX M127,D - ELETROS,11.0,2,13710.039,30.0
463859,DISPOSIT.PROTECAO DR4P     100A/30MA,E - MATERIAIS ELETRICOS,10.0,2,24535.77,122.0
463936,FRIGOBAR 124L MRC12B2        BR M220,D - ELETROS,10.0,3,290592.5505,178.0
454299,COND.SPLIT 12000 EVAP.S4NQ12 INV.115,D - ELETROS,10.0,5,8694.42,9.0
453551,PNEU 215/65R16 DIRECTION  102H110198,A - AUTOMOTIVO,10.0,3,9463.965,12.0
412036,CHAPA BIFETEIRA  GAS   90CM     CG90,N - INDUSTRIAL E NEGOCIOS,10.0,5,31802.505,10.0
409654,LAMP.LED  FIL.P125 AB 4W AM E27 MBIV,I - ILUMINACAO,10.0,1,42954.240000000005,485.0
150498,CUBA LOC.APOIO 50X36 THEMA 2507 PT02,W - LOUCAS E PIAS,10.0,4,26050.92,52.0
370571,CUBA LOC.APOIO 35CM RED. R1 CASTANHA,W - LOUCAS E PIAS,10.0,5,11096.925,26.0
459700,ARAND. LED AM  7W SATURNO  GOLD MBIV,I - ILUMINACAO,10.0,1,32639.460000000006,84.0
459053,"PERFIL EMB.BR 3,0M  FIUU     14X11MM",I - ILUMINACAO,10.0,1,71579.235,367.0
84183,PERSIANA VINIL  080X125 BR,V - DECORACAO,10.0,1,46537.89,506.0
