CODIGO,DESCRICAO,NIVEL_1,qtd_vendida,receita,qtd_transacoes,lojas_distintas
328005,LIXEIRA ESCR.ACO 8.5L     PR OR98011,B - UTILIDADES DOMESTICAS,1512.0,67157.09,634,9
464394,SACO LIXO 30L ROLO        PT/50 4862,B - UTILIDADES DOMESTICAS,3842.0,66943.0965,1634,9
430085,"PORCEL.A 90X90 ESM.BRER.TER.EX1,63M2",C - PISOS E REVESTIMENTOS,603.1,66861.28785,35,5
445860,"PORCEL.A 60X60 ESM.CEMEN.HIDRA2,20M2",C - PISOS E REVESTIMENTOS,873.4,66775.63200000001,98,9
461363,COLCHA QUEEN+P.TRAV 3PC JASMINE   CQ,"K - CAMA, MESA E BANHO",451.0,66756.27,377,9
473898,GARRAFA AGUA VID.1L            19387,B - UTILIDADES DOMESTICAS,2588.0,66558.751,1041,9
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,89.0,66434.235,77,8
479608,"PORCEL.A 60X60 ESM.ROCH.WH EXT1,80M2",C - PISOS E REVESTIMENTOS,1038.6000000000001,66189.312,45,2
29896,MESA PLS CENT BASIC               BR,O - MOVEIS,647.0,65974.755,434,10
428128,IMPERMEAB. CIMENTO ELASTICO      4KG,S - TINTAS E QUIMICOS,224.0,65971.92,149,5
480255,FITA LED 5M  IP20 6W/M   AM IR80 12V,I - ILUMINACAO,437.0,65944.515,214,7
468714,PISO S/ANTID. BASIC 50X70 PEDRA 7717,"K - CAMA, MESA E BANHO",4041.0,65754.11690045249,1110,9
